contig_id,0,1,2,3,4,5
NODE_151_length_29715_cov_8.256470,3.03147140e+00,-1.78459832e+00,-1.99437166e-01,-1.71683007e-01,1.06122838e-01,-8.49689264e-02
NODE_28_length_34835_cov_8.108799,3.02599956e+00,4.35986788e-01,2.29146178e+00,1.71359568e+00,-3.62122182e-01,-3.15259552e-01
NODE_131_length_92242_cov_8.320277,4.26832580e+00,-4.88795089e+00,2.51186354e-01,-3.55972095e-02,-5.65633613e-01,2.00080927e-01
NODE_1_length_2054_cov_17.474684,1.22247457e+00,3.84352232e+00,5.14198985e-02,1.92577056e+00,-7.25027104e-01,-1.87372363e+00
NODE_32_length_1298_cov_27.580894,1.07978963e+00,3.72015671e+00,-6.00812927e-01,-1.39442442e-01,1.35984442e+00,7.74944837e-01
NODE_20_length_1174_cov_71.271721,1.11141382e+00,4.18058041e+00,-2.03023748e-01,6.14555275e-02,1.70135737e+00,7.84902654e-01
NODE_388_length_16348_cov_7.850318,2.27419325e+00,2.08604435e+00,1.41835461e+00,1.49868451e+00,-2.48340577e-01,-5.49615611e-01
NODE_74_length_5532_cov_8.931309,1.51651145e+00,2.74654436e+00,1.11430175e-01,1.27926020e+00,-5.89402017e-01,-8.97473674e-01
NODE_43_length_3201_cov_17.114964,4.74527724e-01,4.99794990e+00,2.66428745e-02,-2.96209426e+00,1.82606745e+00,6.51986308e-01
NODE_26_length_3431_cov_15.138152,1.47819341e+00,-1.23348412e+00,-3.28835457e+00,-1.29914673e+00,-1.61361939e-01,4.90266718e-01
NODE_202_length_21368_cov_7.902611,2.57484082e+00,8.22216405e-02,7.18793970e-01,9.86878855e-01,-4.17938975e-01,-2.16000870e-01
NODE_9_length_28909_cov_10.362067,7.08267312e-01,2.47646399e+00,7.01485060e-01,-1.96790525e+00,-4.25641427e+00,1.34537183e-01
NODE_19_length_1273_cov_24.035349,3.23920538e-01,6.38962555e+00,1.05506084e+00,4.53754481e-01,3.07522604e+00,1.70103584e+00
NODE_257_length_6277_cov_8.895651,1.64973502e+00,1.23140416e+00,-8.60466031e-01,7.08731241e-01,-9.61075737e-01,-4.57709400e-01
NODE_191_length_2593_cov_10.080987,6.05184142e-01,2.41583362e+00,-1.65881196e+00,3.52850472e-01,-3.48638125e-01,-4.62140229e-01
