sample_No.,TOTAL.g.wet,TOTAL.g.dry,L_Total,BIFIDO.g.wet,BIFIDO.g.dry,L.Bif,BACTER.g.wet,BACTER.g.dry,L.Bacter,COCC.g.wet,COCC.g.dry,L.Cocc,LEPTUM.g.wet,LEPTUM.g.dry,L.Leptum,FPRAUS.g.wet,FPRAUS.g.dry,L.Fprau,ECOLI.g.wet,ECOLI.g.dry,L.Ecoli,pH,C2,C3,iC4,C4,iC5,C5,iC6,C6,C7,C8,Total.SCFAs,X.C2,X.C3,X.iC4,X.C4,X.iC5,X.C5,X.iC6,X.C6,X.C7,X.C8,C2wet,C3wet,iC4wet,C4wet,iC5wet,C5wet,iC6wet,C6wet,C7wet,C8wet,Total.SCFAswet,D.Lactate,L.Lactate,Total.Lactate,X.D.Lactate,X.L.Lactate,D.LactateWet,L.LactateWet,Moisture_original
sample_49,13088423967,46388462425,10.67,65821806.12,233288009.9,8.37,80666175.84,285899958.3,8.46,694778013.3,2462457195,9.39,1383131971,4902146020,9.69,473671613.7,1678803950,9.22,2989544444,10595650817,10.03,7.68,139.5703583,48.04466438,7.955830812,25.1767931,13.4995575,0,0,1.818127096,0.802029788,1.124501586,237.9918625,58.64501283,20.18752401,3.342900353,10.5788462,5.672276922,0,0,0.763945068,0.336998828,0.472495813,43.43262367,14.95092406,2.475759251,7.834716435,4.200900591,0,0,0.565779374,0.249582063,0.349931424,74.06021685,33.09161284,44.61973664,77.71134949,42.58272834,57.41727165,10.29771353,13.88512757,68.88119784
sample_50,49199956565,1.54E+11,11.19,3884714502,12169031482,10.09,101027764.7,316473719.9,8.5,2472531733,7745309592,9.89,10818575384,33889642176,10.53,1579312577,4947263039,9.69,1110858.62,3479811.32,6.54,7.34,119.3945427,20.07470226,4.953783989,20.77056122,8.083620548,4.897680998,0,3.209994197,0,1.920956373,183.3058423,65.13406294,10.95147979,2.702469232,11.33109614,4.409908843,2.671863012,0,1.751168515,0,1.047951527,43.06917518,7.241544285,1.786977743,7.492561381,2.916003208,1.76673972,0,1.157940717,0,0.692946299,66.12388854,23.14913955,32.8210238,55.97016334,41.35978559,58.64021443,8.35058558,11.83952291,63.92701525
sample_51,54725825705,1.90E+11,11.28,1593062332,5518823078,9.74,3906219115,13532259076,10.13,4749136131,16452364455,10.22,20980212248,72681449574,10.86,859775545.8,2978508141,9.47,453671260.7,1571646867,9.2,7.15,69.236763,21.87422943,4.426262379,14.8124361,7.599580288,6.575735331,0,1.472634077,1.764776766,0.940558016,128.7029754,53.79577495,16.99590034,3.439129799,11.50900829,5.904743278,5.109233342,0,1.144211369,1.371201218,0.730797414,22.69651299,7.170594216,1.450973691,4.855666755,2.49121948,2.155592721,0,0.482744383,0.578511719,0.308324455,42.19014041,15.7907193,31.31821195,47.10893125,33.51958722,66.48041278,5.176357908,10.26642745,67.21898598
sample_52,18000135574,65217610205,10.81,27634555.92,100124784.5,8,33261340.4,120511599.7,8.08,2734235394,9906608616,10,322164885,1167259202,9.07,75157092.87,272307170.5,8.44,35715.42,129403.17,5.11,7.96,95.34903336,22.47136879,6.731296062,18.07309818,10.06005812,6.865778923,0,1.483460665,0.857587695,1.294207633,163.1858894,58.42970474,13.77041169,4.124925314,11.0751599,6.164784316,4.207336153,0,0.90906185,0.525528094,0.793087955,29.01003478,6.836935491,2.048003278,5.498757443,3.060782325,2.088919817,0,0.451344329,0.260921878,0.393763913,49.64946325,13.87780252,30.47328345,44.35108597,31.29078402,68.70921598,4.222334717,9.271525695,69.57490416
sample_53,21349218000,86416851112,10.94,21857931.38,88476008.89,7.95,620454681.2,2511461535,9.4,3220687217,13036620251,10.12,998707518.1,4042544270,9.61,310331259.9,1256151409,9.1,161420.22,653392.89,5.82,7.78,124.9461632,33.85360718,7.091120958,19.51172924,10.12411547,6.522169352,0,1.153729975,0.43805632,1.116000056,204.7566917,61.0217728,16.53357792,3.463193754,9.529226652,4.944461342,3.185326593,0,0.563463868,0.213939929,0.545037159,37.54861372,10.17362988,2.131011908,5.863632507,3.042482388,1.960031515,0,0.346717018,0.131643959,0.335378486,61.53314136,12.91475504,20.89159156,33.8063466,38.20216125,61.79783875,3.881120763,6.278306443,69.94816587
sample_54,25048019187,96835364378,10.99,39892729.69,154224850.6,8.19,229558262.1,887469695.2,8.95,4718806784,18242854692,10.26,1058633742,4092666305,9.61,168852163.1,652780589.8,8.81,93049.21,359727.21,5.56,7.87,112.3225098,26.87541485,6.373655081,16.48348808,9.43290329,6.022690535,0,0.662102163,0,0.501822114,178.6745859,62.86428998,15.0415431,3.56718615,9.225423975,5.279376047,3.370759476,0,0.370563144,0,0.280858137,33.65348476,8.052271674,1.909641304,4.938696757,2.826237302,1.804487137,0,0.198375598,0,0.150353325,53.53354785,17.91585396,28.1120691,46.02792306,38.92388092,61.07611908,5.367854754,8.422791573,70.03852138
sample_55,89430876908,2.92E+11,11.47,902782718.4,2952657912,9.47,16074107259,52572273482,10.72,5482276300,17930434601,10.25,17109753108,55959476015,10.75,14311389675,46807096642,10.67,353926577.9,1157558833,9.06,6.97,106.9225922,47.1854248,7.238023281,30.96122646,12.84436464,10.60073566,0,1.704414308,1.008568048,0.469328821,218.9346782,48.83766842,21.55228454,3.306019558,14.14176444,5.866756582,4.841962795,0,0.77850358,0.460670761,0.214369338,36.66514424,16.18049442,2.4820121,10.61700629,4.404499297,3.635129808,0,0.584465782,0.34585107,0.160938942,75.07554194,25.99156325,36.57097093,62.56253418,41.54493355,58.45506645,8.912844292,12.54066046,65.70870245
sample_56,58785978195,2.80E+11,11.45,10773624906,51283177616,10.71,732079653.4,3484748283,9.54,9201930655,43801807498,10.64,5590716802,26612187195,10.43,304284687.5,1448415534,9.16,691841871.1,3293213739,9.52,6.99,188.0576554,39.55377007,10.51475096,36.16855049,13.25175381,0,1.661726654,0.49798277,0,2.332939387,292.0391295,64.39467743,13.5439967,3.60045963,12.38483026,4.537663781,0,0.56900822,0.170519194,0,0.798844795,44.08172661,9.271616595,2.464714219,8.478102905,3.106282418,0,0.389517672,0.116729842,0,0.546853549,68.4555438,25.90468364,47.7210495,73.62573314,35.18427938,64.81572062,6.072197272,11.18607085,76.55946177
sample_57,22072585557,1.62E+11,11.21,2973584086,21820342800,10.34,270937398.3,1988155282,9.3,4109268909,30154067830,10.48,950493786,6974781824,9.84,263978100.3,1937087526,9.29,19980713.33,146619702.5,8.17,7.36,235.3119354,33.54804421,5.462434173,35.24767685,5.551496387,6.765545607,2.410165549,3.596031428,2.158963919,2.570176274,332.6224698,70.74444957,10.08592241,1.642232461,10.59690191,1.669008227,2.034001374,0.724594929,1.081115004,0.649073383,0.772700736,49.77664237,7.096575853,1.155494437,7.456107154,1.174334187,1.431147738,0.509833674,0.760685471,0.45669581,0.543681497,70.36119819,36.43560828,97.46581449,133.9014228,27.21077007,72.78922991,7.707395886,20.61740295,78.84652885
sample_58,79261720789,4.39E+11,11.64,8767052332,48569386370,10.69,632886089.4,3506182904,9.54,23769520988,1.32E+11,11.12,2797147846,15496172411,10.19,135424487.6,750250370.7,8.88,2409805.25,13350298.1,7.13,7.89,149.6560822,27.38005162,9.3279109,22.91733647,9.86234665,7.116875172,2.815598726,1.258719385,0,0.280418039,230.6153391,64.89424458,11.87260645,4.044792049,9.937472743,4.276535415,3.086037208,1.22090696,0.545809047,0,0.121595571,33.34483127,6.100541909,2.078349309,5.106205551,2.197426794,1.585709036,0.627342792,0.280454926,0,0.062479868,51.38334144,33.14677056,51.5442526,84.69102316,39.13846984,60.86153016,7.385422999,11.484561,77.719027
